,Unnamed: 0,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,TraingOrders,TrainGridSearch,TrainBenchmark,TestOrders,TestGridSearch,TestBenchmark
849,849,2019-07-18,9698.5,10736.84,9376.8,10666.48,10666.48,25187024648,BTC,11161.712,8500.402594291703,13823.021405708296,0.4069570792975505,37.98359932514647,11161.712,-0.044368820840387214,11215.44,10666.48,-0.04894680904180001,,639516.72,392334.27999999997,,500000.0,500000.0
850,850,2019-07-19,10653.96,10716.98,10229.63,10530.73,10530.73,20727426310,BTC,11116.064667,8411.149614896303,13820.9797191037,0.3918016544466401,37.02526519346612,11116.064667,-0.052656644643105516,10978.46,10530.73,-0.0407825869931,,644403.72,387447.27999999997,,500000.0,500000.0
851,851,2019-07-20,10525.82,11048.66,10451.28,10767.14,10767.14,20206615155,BTC,11101.976667,8385.223840680628,13818.729493319373,0.438375574002138,37.86589039030833,11101.976667,-0.03016009464290113,11208.55,10767.14,-0.039381543553800004,,635892.96,395958.04,,500000.0,500000.0
852,852,2019-07-21,10777.53,10841.89,10389.6,10599.11,10599.11,17130580467,BTC,11061.347333,8319.069269524827,13803.62539647517,0.4157201927921516,38.566993437858606,11061.347333,-0.04178851988681151,11450.85,10599.11,-0.07438225109930001,,641942.04,389908.96,,500000.0,500000.0
853,853,2019-07-22,10596.95,10651.79,10154.92,10343.11,10343.11,16334414913,BTC,10987.498,8212.322770060713,13762.673229939288,0.3839013852083682,38.052978551228264,10987.498,-0.05864738268894337,12285.96,10343.11,-0.1581357907726,,651158.04,380692.96,,500000.0,500000.0
854,854,2019-07-23,10346.75,10346.75,9883.59,9900.77,9900.77,17851916995,BTC,10828.485333,8157.695527137857,13499.275138862144,0.3263219121617603,34.29832609786793,10828.485333,-0.08567360110585098,12573.81,9900.77,-0.2125879109037,,667082.28,364768.72000000003,,500000.0,500000.0
855,855,2019-07-24,9887.73,9908.8,9614.31,9811.93,9811.93,17398734322,BTC,10644.36,8296.535704408136,12992.184295591866,0.3227231054804822,29.675803196622798,10644.36,-0.07820385631451773,12156.51,9811.93,-0.19286620913400002,,670280.52,361570.48,,500000.0,500000.0
856,856,2019-07-25,9809.1,10154.25,9773.96,9911.84,9911.84,15821952090,BTC,10494.715333,8452.331043090637,12537.099622909363,0.35730517614149226,26.60266959413987,10494.715333,-0.05553988979264484,11358.66,9911.84,-0.12737594047189998,,666683.76,365167.24,,500000.0,500000.0
857,857,2019-07-26,9913.13,9916.52,9717.98,9870.3,9870.3,14495714483,BTC,10395.491333,8434.059858166233,12356.922807833767,0.3661203973377375,25.124945463110066,10395.491333,-0.05052106881497796,11815.99,9870.3,-0.1646658468736,,668179.2,363671.8,,500000.0,500000.0
858,858,2019-07-27,9871.17,10167.32,9411.52,9477.68,9477.68,16817809536,BTC,10239.604,8549.265435704163,11929.942564295836,0.2746238487088525,20.996311316083265,10239.604,-0.07440951818058589,11392.38,9477.68,-0.16806848086179998,,682313.52,349537.48,,500000.0,500000.0
859,859,2019-07-28,9491.63,9575.54,9252.3,9552.86,9552.86,13738687093,BTC,10116.969333,8646.895342946631,11587.043323053369,0.3081357343858864,18.639962964590005,10116.969333,-0.05575872718719844,10256.06,9552.86,-0.0685643414723,,679607.04,352243.96,,500000.0,500000.0
860,860,2019-07-29,9548.18,9681.65,9472.95,9519.15,9519.15,13791445323,BTC,10067.842,8533.189890186744,11602.494109813257,0.3212324485492779,18.835196188572066,10067.842,-0.054499464731369435,10895.09,9519.15,-0.1262899159163,,680820.6000000001,351030.39999999997,,500000.0,500000.0
861,861,2019-07-30,9522.33,9701.76,9437.34,9607.42,9607.42,13829811132,BTC,9981.997333,8574.71562097399,11389.279045026009,0.3669145879609511,17.668078204141402,9981.997333,-0.037525288827884716,9477.64,9607.42,0.0136932822939,,677642.88,354208.12,,500000.0,500000.0
862,862,2019-07-31,9604.05,10085.63,9598.1,10085.63,10085.63,16631520648,BTC,10022.53,8677.919992196357,11367.140007803646,0.5234640526374891,20.811254417439997,10022.53,0.006295815527616279,9693.8,10085.63,0.0404206812602,,660427.3200000001,371423.68,,500000.0,500000.0
863,863,2019-08-01,10077.44,10446.92,9922.02,10399.67,10399.67,17165337858,BTC,10069.588,8724.749877788154,11414.426122211846,0.6227218334118595,25.112620771512603,10069.588,0.03278008991033198,10666.48,10399.67,-0.0250138752428,,649121.88,382729.12,,500000.0,500000.0
864,864,2019-08-02,10402.04,10657.95,10371.01,10518.17,10518.17,17489094082,BTC,10059.700667000001,8752.807724197986,11366.593609802012,0.6754043188943352,27.93227417881093,10059.700667000001,0.04557484841511935,10530.73,10518.17,-0.0011926998413,,644855.88,386995.12,,500000.0,500000.0
865,865,2019-08-03,10519.28,10946.78,10503.5,10821.73,10821.73,15352685061,BTC,10079.100667,8688.054289442032,11470.147044557969,0.7669319100286618,32.331429694604125,10079.100667,0.07368011864703802,10767.14,10821.73,0.0050700557436999995,,633927.72,397923.27999999997,,500000.0,500000.0
