,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,bollinger_sma,bollinger_band_lower,bollinger_band_upper,bollinger_band_percentage,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,window_start_price,window_end_price,momentum,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume
1186,2017-12-16,17760.30,19716.70,17515.30,19497.40,19497.40,,BTC,15326.306667,9949.310276838525,20703.303057161476,0.8878646209091782,91.4013523383856000000,15326.306667,0.27215254292027406,11074.60,19497.40,0.7605511711484,2017-12-16,0.011173184,0.011173184,0.9776536,0.0950615,179
1187,2017-12-17,19475.80,20089.00,18974.10,19140.80,19140.80,,BTC,15864.053333,10700.220501874504,21027.886164125495,0.8172785384578192,91.1105185768758000000,15864.053333,0.20655166735879506,11323.20,19140.80,0.6904055390702,2017-12-17,0.037383176,0.0,0.95327103,0.2108364,214
1188,2017-12-18,19106.40,19371.00,18355.90,19114.20,19114.20,,BTC,16383.453333,11625.73622625547,21141.17043974453,0.7869807731032286,90.7846765490364000000,16383.453333,0.16667711083228438,11657.20,19114.20,0.6396904917133,2017-12-18,0.029045643,0.004149378,0.9626556,0.1127593,241
1189,2017-12-19,19118.30,19177.80,17275.40,17776.70,17776.70,,BTC,16791.420000,12779.556666478136,20803.28333352186,0.6227958080933758,89.2714477794856670000,16791.420000,0.05867758652931080,11916.70,17776.70,0.4917468762325,2017-12-19,0.018382354,0.0,0.9742647,0.1508051,272
1190,2017-12-20,17760.30,17934.70,16077.70,16624.60,16624.60,,BTC,17105.280000,14123.431184056632,20087.128815943368,0.4193989987973404,85.5925449961052670000,17105.280000,-0.02810126463875482,14291.50,16624.60,0.1632508833922,2017-12-20,0.025270758,0.0036101083,0.96750903,0.1059892,277
1191,2017-12-21,16642.40,17567.70,15342.70,15802.90,15802.90,,BTC,17206.040000,14547.01088738873,19865.069112611272,0.23615557773602894,79.8901000989020670000,17206.040000,-0.08154926990754409,17899.70,15802.90,-0.1171416280720,2017-12-21,0.020408163,0.0034013605,0.9727891,0.0174966,294
1192,2017-12-22,15898.00,15943.40,11833.00,13831.80,13831.80,,BTC,16934.846667,13793.069672216257,20076.623661783746,0.006163761439472841,73.2234334322354000000,16934.846667,-0.18323441174384741,16569.40,13831.80,-0.1652202252345,2017-12-22,0.024647888,0.0035211267,0.9683099,0.1019683,284
1193,2017-12-23,13948.70,15603.20,13828.80,14699.20,14699.20,,BTC,16810.166667,13464.420642426052,20155.91269157395,0.18452975039119815,68.4968424448092670000,16810.166667,-0.12557678390804024,15178.20,14699.20,-0.0315584193119,2017-12-23,0.048780486,0.0,0.9414634,0.121078,205
1194,2017-12-24,14608.20,14626.00,12747.70,13925.80,13925.80,,BTC,16726.673333,13151.730918705216,20301.61574729478,0.1082631538622254,63.9326359197670670000,16726.673333,-0.16744951475044150,15455.40,13925.80,-0.0989686452631,2017-12-24,0.052083332,0.010416667,0.9322917,0.1148646,192
1195,2017-12-25,13995.90,14593.00,13448.90,14026.60,14026.60,,BTC,16631.420000,12841.625109809464,20421.21489019053,0.1563376019712457,59.3968166091734670000,16631.420000,-0.15662042086604752,16936.80,14026.60,-0.1718270275377,2017-12-25,0.07913669,0.0,0.92086333,0.062795,278
1196,2017-12-26,14036.60,16461.20,14028.90,16099.80,16099.80,,BTC,16575.620000,12780.451384735888,20370.788615264108,0.4373124031846361,56.1932268168653330000,16575.620000,-0.02870601521994351,17415.40,16099.80,-0.0755423360933,2017-12-26,0.12807882,0.0,0.8719212,0.0583103,203
1197,2017-12-27,16163.50,16930.90,15114.30,15838.50,15838.50,,BTC,16470.493333,12687.678505413338,20253.30816058666,0.4164652035844965,52.2908527940130670000,16470.493333,-0.03837124488152088,16408.20,15838.50,-0.0347204446557,2017-12-27,0.10204082,0.0040816325,0.8897959,0.0778245,245
1198,2017-12-28,15864.10,15888.40,13937.30,14606.50,14606.50,,BTC,16350.380000,12446.605615272169,20254.15438472783,0.27664180506661357,47.7769655428440000000,16350.380000,-0.10665684834236269,16564.00,14606.50,-0.1181779763342,2017-12-28,0.125,0.0,0.875,0.0866964,224
