,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,stochastic_oscillator_sma,rolling_avg,price_to_SMA_ratio,multiplier,on_balance_volume,window_start_price,window_end_price,momentum
568,2018-10-10,6640.29,6640.29,6538.96,6585.53,6585.53,3787650000,BTC,70.8966739485505000000,6597.502667,-0.00181472711786628,-1,205754547264,6495.00,6585.53,0.0139384141647
569,2018-10-11,6586.74,6586.74,6243.74,6256.24,6256.24,5181640000,BTC,56.0874674070605000000,6581.585333,-0.04943266956803278,-1,200572907264,6676.75,6256.24,-0.0629812408732
570,2018-10-12,6239.25,6328.50,6236.47,6274.58,6274.58,3783500000,BTC,34.9073016527032500000,6554.774000,-0.04274655388576326,1,204356407264,6644.13,6274.58,-0.0556205251854
571,2018-10-13,6278.08,6308.51,6259.81,6285.99,6285.99,3064030000,BTC,15.4886062209690000000,6530.898000,-0.03749989664514742,1,207420437264,6601.96,6285.99,-0.0478600294458
572,2018-10-14,6288.49,6363.21,6280.15,6290.93,6290.93,3085320000,BTC,5.2261420742947500000,6510.162667,-0.03367545147700992,1,210505757264,6625.56,6290.93,-0.0505059194996
573,2018-10-15,6292.64,6965.06,6258.68,6596.54,6596.54,7370770000,BTC,26.7102704613752500000,6508.228000,0.01356928491134607,1,217876527264,6589.62,6596.54,0.0010501364267
574,2018-10-16,6601.41,6673.59,6571.37,6596.11,6596.11,4074800000,BTC,47.0093941766207500000,6508.660667,0.01343584148477470,-1,213801727264,6556.10,6596.11,0.0061027135035
575,2018-10-17,6590.52,6601.21,6517.45,6544.43,6544.43,4088420000,BTC,63.3254627642112500000,6507.882667,0.00561585616552727,-1,209713307264,6502.59,6544.43,0.0064343592322
576,2018-10-18,6542.33,6567.54,6450.04,6476.71,6476.71,3924080000,BTC,75.0542943003612500000,6506.157333,-0.00452607145705494,-1,205789227264,6576.69,6476.71,-0.0152021761707
577,2018-10-19,6478.07,6493.68,6445.31,6465.41,6465.41,3578870000,BTC,66.7756761534382500000,6498.738667,-0.00512848241909463,-1,202210357264,6622.48,6465.41,-0.0237177009217
578,2018-10-20,6460.92,6497.72,6449.00,6489.19,6489.19,3379130000,BTC,60.0255056945882500000,6489.852667,-0.00010210817317465,1,205589487264,6588.31,6489.19,-0.0150448294024
579,2018-10-21,6490.09,6556.38,6476.00,6482.35,6482.35,3253610000,BTC,56.1062148034040000000,6482.788667,-0.00006766640446464,-1,202335877264,6602.95,6482.35,-0.0182645635663
580,2018-10-22,6486.05,6543.80,6462.98,6487.16,6487.16,3672860000,BTC,56.7659536856990000000,6475.069333,0.00186726448447127,1,206008737264,6652.23,6487.16,-0.0248142352264
581,2018-10-23,6472.36,6506.01,6451.27,6475.74,6475.74,3716150000,BTC,57.7620480004070000000,6463.303333,0.00192419670859350,1,209724887264,6642.64,6475.74,-0.0251255524912
582,2018-10-24,6478.89,6521.99,6468.86,6495.84,6495.84,3424670000,BTC,60.6573530025510000000,6453.516667,0.00655818140463168,1,213149557264,6585.53,6495.84,-0.0136192531201
