,TradeDate,Open,High,Low,Close,Adj_Close,Volume,Ticker,tweet_date,pct_positive,pct_negative,pct_neutral,avg_compound_sentiment,tweet_volume,MACD_raw,MACD_signal,MACD
991,2019-12-07,7547.27,7589.95,7525.71,7556.24,7556.24,15453520564,BTC,,,,,,,-260.722182862778,-313.32962588772205,52.60744302494402
992,2019-12-08,7551.34,7634.61,7476.09,7564.35,7564.35,15409908086,BTC,,,,,,,-236.6639336333301,-297.99648743684367,61.332553803513576
993,2019-12-09,7561.80,7618.09,7365.99,7400.90,7400.90,17872021272,BTC,,,,,,,-228.1565995232677,-284.02850985412846,55.87191033086077
994,2019-12-10,7397.13,7424.02,7246.04,7278.12,7278.12,18249031195,BTC,,,,,,,-228.68565001226943,-272.9599378857567,44.27428787348725
995,2019-12-11,7277.20,7324.16,7195.53,7217.43,7217.43,16350490689,BTC,,,,,,,-231.33541150636302,-264.63503260987795,33.29962110351494
996,2019-12-12,7216.74,7266.64,7164.74,7243.13,7243.13,18927080224,BTC,,,,,,,-228.7249920330014,-257.45302449450264,28.728032461501243
997,2019-12-13,7244.66,7293.56,7227.12,7269.68,7269.68,17125736940,BTC,,,,,,,-221.9552902571986,-250.35347764704184,28.39818738984323
998,2019-12-14,7268.90,7308.84,7097.21,7124.67,7124.67,17137029730,BTC,,,,,,,-225.68973712507795,-245.42072954264907,19.730992417571116
999,2019-12-15,7124.24,7181.08,6924.38,7152.30,7152.30,16881129804,BTC,,,,,,,-223.83952043039608,-241.10448772019848,17.2649672898024
1000,2019-12-16,7153.66,7171.17,6903.68,6932.48,6932.48,20213265950,BTC,,,,,,,-237.37454130572587,-240.35849843730398,2.9839571315781086
1001,2019-12-17,6931.32,6964.08,6587.97,6640.52,6640.52,22363804217,BTC,,,,,,,-268.56403582279927,-245.99960591440302,-22.56442990839625
1002,2019-12-18,6647.70,7324.98,6540.05,7276.80,7276.80,31836522778,BTC,,,,,,,-239.18231174560333,-244.6361470806431,5.45383533503977
